Map,Agent0,Agent1,Score0,Score1,Wins0,Wins1,Draws,AvgStep0,AvgStep1,,,,,,,,,,,,,,,,,,,,
all,random,rl,160,52,0,26,24,0,146.9,,,,,,,,,,,,,,,,,,,,
1,random,rl,48.62,100,0,5,0,0,94.4,,,,,,,,,,,,,,,,,,,,
2,random,rl,117.69,100,0,5,0,0,231,,,,,,,,,,,,,,,,,,,,
3,random,rl,94.38,80,0,4,1,0,160,,,,,,,,,,,,,,,,,,,,
4,random,rl,124.39,80,0,4,1,0,180.8,,,,,,,,,,,,,,,,,,,,
5,random,rl,177.22,60,0,3,2,0,230.7,,,,,,,,,,,,,,,,,,,,
6,random,rl,256.12,0,0,0,5,0,0,,,,,,,,,2,0,66.7,,,,,,,,,
1,random,rl,78.11,60,0,3,2,0,66.7,,,,,,,,,,,,,,,,,,,,
2,random,rl,211.69,40,0,2,3,0,210,,,,,,,,,,,,,,,,,,,,
3,random,rl,110.32,80,0,4,1,0,200.8,,,,,,,,,,,,,,,,,,,,
4,random,rl,90.53,100,0,5,0,0,173.6,,,,,,,,,,,,,,,,,,,,
all,random,rl,150.05,58,0,29,21,0,160.2,,,,,,,,,,,,,,,,,,,,
5,random,rl,216.18,40,0,2,3,0,299.5,,,,,,,,,,,,,,,,,,,,
6,random,rl,257.51,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,
all,random,rl,171.75,50,0,10,10,0,183,,,,,,,,,,,,,,,,,,,,
all,random,rl,181.79,40,0,8,12,0,159.4,,,,,,,,,,,,,,,,,,,,
all,random,rl,181.79,40,0,8,12,0,159.4,,,,,,,,,,,all,random,rl,149.18,60,0,12,8,0,156.7
all,random,rl,153.56,50,0,10,10,0,149.5,,,,,,,,,,,,,,,,,,,,
all,random,rl,175.81,50,0,10,10,0,230.8,,,,,,,,,,,,,,,,,,,,
all,random,rl,139.42,62,0,31,19,0,131.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,151.34,60,0,30,20,0,176.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,150.05,58,0,29,21,0,160.2,,,,,,,,,,,,,,,,,,,,
all,random,rl,149.18,60,0,12,8,0,156.7,,,,,,,,,,,,,,,,,,,,
all,random,rl,140.19,63.33,0,19,11,0,150.2,,,,,,,,,,,,,,,,,,,,
all,random,rl,139.42,62,0,31,19,0,131.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,126.28,70,0,35,15,0,145.4,,,,,,,,,,,,,,,,,,,,
all,random,rl,148.19,62,0,31,19,0,165,,,,,,,,,,,,,,,,,,,,
all,random,rl,163.83,54,0,27,23,0,179.4,,,,,,,,,,,,,,,,,,,,
all,random,rl,145.13,64,0,32,18,0,164.3,,,,,,,,,,,,,,,,,,,,
all,random,rl,154.4,56,0,28,22,0,140.3,,,,,,,,,,,,,,,,,,,,
all,random,rl,155.76,58,0,29,21,0,158.3,,,,,,,,,,,,,,,,,,,,
all,random,rl,141.74,64,0,32,18,0,163,,,,,,,,,,,,,,,,,,,,
all,random,rl,152.84,56,0,28,22,0,149,,,,,,,,,,,,,,,,,,,,
all,random,rl,126.28,70,0,35,15,0,145.4,,,,,,,,,,,,,,,,,,,,
all,random,rl,145.84,64,1,32,17,449,159.7,,,,,,,,,,,,,,,,,,,,
all,random,rl,154.6,56,0,28,22,0,168.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,166.79,52,0,26,24,0,179.7,,,,,,,,,,,,,,,,,,,,
all,random,rl,165.97,56,0,28,22,0,190.8,,,,,,,,,,,,,,,,,,,,
all,random,rl,186.7,34,0,17,33,0,182.5,,,,,,,,,,,,,,,,,,,,
all,random,rl,145.15,60,0,12,8,0,144.4,,,,,,,,,,,,,,,,,,,,
all,random,rl,131.77,70,0,21,9,0,158.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,126.28,70,0,35,15,0,145.4,,,,,,,,,,,,,,,,,,,,
all,random,rl,141.63,65,0,13,7,0,174.5,,,,,,,,,,,,,,,,,,,,
all,random,rl,172.08,50,0,15,15,0,194.2,,,,,,,,,,,,,,,,,,,,
all,random,rl,150.56,65,0,13,7,0,187.8,,,,,,,,,,,,,,,,,,,,
all,random,rl,131.77,70,0,21,9,0,158.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,166.79,52,0,26,24,0,179.7,,,,,,,,,,,,,,,,,,,,
all,random,rl,153.56,50,0,10,10,0,149.5,,,,,,,,,,,,,,,,,,,,
all,random,rl,150.5,60,0,18,12,0,173.7,,,,,,,,,,,,,,,,,,,,
all,random,rl,139.42,62,0,31,19,0,131.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,149.18,60,0,12,8,0,156.7,,,,,,,,,,,,,,,,,,,,
all,random,rl,140.19,63.33,0,19,11,0,150.2,,,,,,,,,,,,,,,,,,,,
all,random,rl,150.05,58,0,29,21,0,160.2,,,,,,,,,,,,,,,,,,,,
all,random,rl,141.63,65,0,13,7,0,174.5,,,,,,,,,,,,,,,,,,,,
all,random,rl,189.31,40,0,12,18,0,204.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,151.34,60,0,30,20,0,176.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,193.9,36.67,0,11,19,0,224.5,,,,,,,,,,,,,,,,,,,,
all,random,rl,197.16,36,0,18,32,0,231.4,,,,,,,,,,,,,,,,,,,,
all,random,rl,188.54,36,0,18,32,0,178.3,,,,,,,,,,,,,,,,,,,,
all,random,rl,139.42,62,0,31,19,0,131.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,151.34,60,0,30,20,0,176.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,162.7,58,0,29,21,0,198.5,,,,,,,,,,,,,,,,,,,,
all,random,rl,176.72,50,0,25,25,0,205,,,,,,,,,,,,,,,,,,,,
all,random,rl,178.52,50,0,5,5,0,206.8,,,,,,,,,,,,,,,,,,,,
all,random,rl,149.18,60,0,12,8,0,156.7,,,,,,,,,,,,,,,,,,,,
all,random,rl,139.42,62,0,31,19,0,131.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,139.42,62,0,31,19,0,131.1,,,,,,,,,,,,,,,,,,,,
all,random,rl,137.79,62.5,0,25,15,0,136.9,,,,,,,,,,,,,,,,,,,,
all,random,rl,137.79,62.5,0,25,15,0,136.9,,,,,,,,,,,,,,,,,,,,
1,random,rl,34.4,100,0,10,0,0,67.3,,,,,,,,,,,,,,,,,,,,
2,random,rl,163.96,80,0,8,2,0,109.8,,,,,,,,,0,0,,,,,,,,,,
3,random,rl,89.46,80,0,8,2,0,109.8,,,,,,,,,0,282.6,,,,,,,,,,
4,random,rl,101.39,90,0,9,1,0,160.2,,,,,,,,,,,,,,,,,,,,
5,random,rl,182.55,50,0,5,5,0,69.4,,,,,,,,,,,,,,,,,,,,
6,random,rl,252.58,0,0,0,10,0,69.4,,,,,,,,,,,,,,,,,,,,
7,random,rl,35.26,100,0,10,0,0,69.4,,,,,,,,,,,,,,,,,,,,
8,random,rl,127.81,70,1,7,2,155,164.7,,,,,,,,,,,,,,,,,,,,
9,random,rl,169.38,40,1,4,5,141,213.5,,,,,,,,,,,,,,,,,,,,
10,random,rl,244.41,10,0,1,9,0,317,,,,,,,,,,,,,,,,,,,,
11,random,rl,252.58,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,all,random,rl,178.52,50.0,0,5,0,206.8
6,random,rl,252.58,0.0,0,0,10,0,0
all,random,rl,139.42,62.0,0,31,19,0,131.1
